,,,,,,,,,
,,all unique parts that need to be ordered,,,,,,,
,,,,,,,,,
,Part (modified),Description,SUM of Quantity Installed,AVERAGE of Quantity Available (manual),Difference,supplier_name,supplier_part_number,supplier_2_name,supplier_2_part_number
,140-00261,"BALL VALVE, MANUAL, 1 IN TRI-CLAMP, 316SS",2,0,-2,ZORO,3666TMCE010,MCMASTER-CARR,44755K113
,140-00262,"ADAPTER, 1"" PIPE FLANGE, 1"" TUBE OD TRI-CLAMP, CLASS 150, 316L SS",2,0,-2,GETPIPE,B38MP-R100,MCMASTER-CARR,50485K864
,140-00263,"SPOOL, TRI-CLAMP, 1"" TUBE OD, 12 IN LONG, 316 SS",2,0,-2,GW KENT,607-21,MCMASTER-CARR,50485K73-50485K732
,140-00264,"VALVE, CHECK, TRI-CLAMP, 1 IN TUBE OD, 316SS",1,1,0,GETPIPE,SS45CV-1-316L,MCMASTER-CARR,46295k61
,140-00265,"ADAPTER, 0.75 COMPRESSION, 0.75 FNPT, 316 SS",2,12,10,MCMASTER-CARR,5182k803,Superlok,SFC 12-12N
,140-00266,"ADAPTER, 0.75 MNPT, 1"" TUBE OD TRI-CLAMP, 316 SS",4,0,-4,GETPIPE,SS21MP-1.5X0.75-316L,MCMASTER-CARR,50485k252
,140-00267,"SENSOR, CONDUCTIVITY, IFM, LDL101",7,0,-7,IFM,LDL101,,
,140-00268,"SPOOL, TRI-CLAMP, 1"" TUBE OD, 4 IN LONG, 316 SS",2,0,-2,MCMASTER-CARR,50485K73-50485K734,,
,140-00269,"SENSOR, FLOW, IFM, SUH201",1,1,0,IFM,SUH201,,
,140-00270,"ADAPTER, 0.5 FNPT, 1"" TUBE OD TRI-CLAMP, 316 SS",3,1,-1,DUVA SANITARY,22MP6-100050,MCMASTER-CARR,4322K874
,140-00271,"TEE, TRI-CLAMP, REDUCING, 1"" TUBE OD, 0.75"" TUBE OD, 316 SS",2,0,-2,GETPIPE,SS7RMP-1X0.75-316L,MCMASTER-CARR,50485K286
,140-00272,"ADAPTER, 0.75 MNPT, 0.75"" TUBE OD TRI-CLAMP, 316 SS",2,0,-2,MCMASTER-CARR,45195k792,,
,140-00273,"TRI-CLAMP, WING NUT, 0.5 to 0.75 IN, 304SS",2,0,-2,MCMASTER-CARR,45195K44,,
,140-00274,"GASKET, TRI-CLAMP, 0.75 IN TUBE OD, FKM CORE, PTFE ENVELOPE, WHITE",2,0,-2,DUVA SANITARY,A40MPGR-SFY-075,,
,140-00275,"GASKET, FLANGE, PIPE SIZE 2, 4 HOLE, CLASS 150, 1/16"" THK, PTFE",4,0,-4,MCMASTER-CARR,9483K52,,
,140-00276,"GASKET, FLANGE, PIPE SIZE 1, 4 HOLE, CLASS 150, 1/16"" THK, PTFE",2,0,-2,MCMASTER-CARR,9483K48,,
,140-00277,"SENSOR, FLOW, IFM, SUH401, SUH400",1,0,-1,IFM,SUH401,,
,140-00278,"BALL VALVE, AUTOMATED, 2 IN TUBE OD TRI CLAMP, 24VDC, VALWORX",3,0,-3,Valworx,570704C,,
,140-00279,"CAP, TRI-CLAMP,  2"", 316L SS",1,0,-1,DUVA SANITARY,16AMP6-200,MCMASTER-CARR,50485K222
,140-00280,"VALVE, CHECK, TRI-CLAMP, 2 IN TUBE OD, PTFE SEAL, 316SS",2,0,-2,GETPIPE,SS45CV-2-316L,MCMASTER-CARR,46295k73
,140-00281,"NUT, STRUT CHANNEL, SPRING, 1/2-13, ZINC PLATED  ",79,21,5,MCMASTER-CARR,3259T15,,
,140-00282,"NUT, STRUT CHANNEL, SPRING, 3/8-16, ZINC PLATED  ",39,21,87,MCMASTER-CARR,3259T14,,
,140-00283,"STRUT, 1-5/8, 1 FT LONG, MOUNTING PLATE, 2 HOLE, ZINC PLATED STEEL",2,0,-2,MCMASTER-CARR,3188T401,,
,140-00285,"ADAPTER, FLANGE, 4"" QUICK CONNECT DUCT, 304SS",1,2,1,NORDFAB,8040401842,,
,140-00289,"ELBOW, 90 DEGREE, 0.75 MGHT X 0.75 FGHT, INTEGRATED BALL VALVE, 304 SS ",4,0,-4,AMAZON,,,
,140-00291,"HOSE, BRAIDED, 24"" LONG, 1"" OD TUBE TRI CLAMP, 316 SS",1,0,-1,MCMASTER-CARR,1111N15-1111N153,,
,140-00293,"HOSE, BRAIDED, 60"" LONG, 1"" OD TUBE TRI CLAMP, 316 SS",1,0,-1,MCMASTER-CARR,1111N15-1111N159,,
,140-00297,"BLOCK CLAMP, ALUMINUM, 0.5 ID, WELD ON",24,0,-24,MCMASTER-CARR,3050T72,ZORO,H3008S-AL
,140-00298,"HANDLE, 180MM, M5, 303 STAINLESS STEEL",8,4,8,MCMASTER-CARR,7088A73,,
,140-00299,"MANIFOLD, 1 NPT X 3/4 NPT, 8 OUTLET, ALUMINUM, ANODIZED",1,0,-1,MCMASTER-CARR,5975K54,,
,140-00300,"ADAPTER, 0.75 MNPT X 0.5 COMP, 316 SS",6,0,-6,Superlok,SMC8-12N,MCMASTER-CARR,
,140-00301,"PLUG, 0.75 MNPT, HIGH PRESSURE, 316SS",1,2,1,ZORO,1RTL3,,
,140-00302,"PLUG, 1 MNPT, HIGH PRESSURE, 316SS ",1,0,-1,ZORO,1RTH8,MCMASTER-CARR,4443K726
,140-00303,"GROMMET, 1.5 IN HOLE DIA, 1/8"" PANEL THK, BLACK",12,8,28,MCMASTER-CARR,9600K72,,
,140-00305,"ELBOW,  90 DEGREE, 1 COMP, 1 NPT, 316SS ",1,0,-1,MCMASTER-CARR,5182K843,Superlok,SME-16-16N
,140-00306,"TUBE STEM, 1"" OD, 316 SS",1,2,1,MCMASTER-CARR,5182K03,Superlok,SPC-16
,140-00307,"FITTING, BULKHEAD, 1"" COMP, 316SS",1,0,-1,MCMASTER-CARR,5182K847,Superlok,SBHU-16
,140-00309,"FITTING, BULKHEAD, 0.25"" COMP, 316SS",3,3,3,MCMASTER-CARR,5182K375,Superlok,SBHU-4
,140-00318,"RIV NUT, 3/8-16, ZINC PLATED STEEL",48,62,200,MCMASTER-CARR,95105A159,,
,140-00319,"RIV NUT, M12X1.75, ZINC PLATED STEEL",29,41,176,ZORO,ALS4T-12175-5.1,MCMASTER-CARR,95105A208
,140-00320,"RIV NUT, M6X1, ZINC PLATED STEEL",40,79,276,MCMASTER-CARR,95105A183,,
,140-00321,"RIV NUT, M8X1.25, ZINC PLATED STEEL",25,60,215,MCMASTER-CARR,95105A191,,
,140-00322,"ELBOW, 0.5 COMP X 0.25 COMP, 316SS",2,0,-2,Superlok,SRUE-8-4-S316,MCMASTER-CARR,5182K412
,140-00323,"TEE, 0.25 COMP X 0.25 FNPT, 316SS",1,2,1,MCMASTER-CARR,5182K319,Superlok,SFBT 4-4N
,140-00324,"ELBOW, 0.25 MNPT X 0.375 PUSH TO CONNECT, NYLON",12,0,-12,MCMASTER-CARR,5779K158,,
,140-00325,"VALVE, BALL, 0.5 MNPT, LOCKABLE, 316SS",2,1,0,MCMASTER-CARR,45395K118,,
,140-00330,"VALVE, BALL, 0.5"", PUSH TO CONNECT, PP, WHITE",2,4,2,HOSE WAREHOUSE,LFPP8VUC8,MCMASTER-CARR,4379K136
,140-00337,"ELBOW, 0.5 PUSH TO CONNECT, 0.5 UNIVERSAL THREAD, SS",4,0,-4,HOSE WAREHOUSE,60111X-08-06,MCMASTER-CARR,7610N136
,140-00338,"ELBOW, 0.5 PUSH TO CONNECT, 0.375 UNIVERSAL THREAD, SS",2,0,-2,MCMASTER-CARR,7610N135,,
,140-00339,"ADAPTER, 0.5 PUSH TO CONNECT, 0.5 UNIVERSAL THREAD, STRAIGHT, SS",3,0,-3,MCMASTER-CARR,7610N123,,
,140-00350,"THERMOCOUPLE -TYPE K , SURFACE ADHESIVE, UNGROUNDED, 10FT,  TEMP -68 TO 260 C",4,9,14,Evolution Sensors and Controls,K5X-TAPE-REC-FW-1-PFXX-120-MPCX,,
,140-00351,"SENSOR, FLOW, IFM, 1/2"" NPT, SU6621",2,0,-2,ifm ,SU6621,,
,140-00353,"FLOW SWITCH, 1/4"" TUBING",1,0,-1,AMERITROL,IM-2525,,
,140-00355,"SANITARY SAMPLE COOK VALVE, 1/2"" NPT",2,2,2,TRYNOX,TSCVMC0.5,,
,140-00356,"ELBOW, 0.5 COMP x 0.5 MNPT, 90 DEGREE, 316SS",5,8,19,Superlok,SME8-8N-S316,,
,140-00357,"CONNECTOR, WYE, 0.5 PUSH TO CONNECT, NYLON, WHITE",2,0,-2,MCMASTER-CARR,7852T632,,
